pid task soa correct sub
10 0 2 0 1
10 0 1 1 1
10 0 1 1 1
10 0 2 1 1
10 0 2 1 1
10 0 3 1 1
10 0 3 1 1
10 0 4 1 1
10 0 4 0 1
10 0 3 1 1
10 0 3 1 1
10 0 4 1 1
10 0 4 1 1
10 0 5 0 1
10 0 4 0 1
10 0 3 1 1
10 0 3 1 1
10 0 4 1 1
10 0 4 1 1
10 0 5 1 1
10 0 5 0 1
10 0 4 0 1
10 0 3 0 1
10 0 2 1 1
10 0 2 1 1
10 0 3 1 1
10 0 3 1 1
10 0 4 1 1
10 0 4 1 1
10 0 5 1 1
10 0 5 0 1
10 0 4 0 1
10 0 3 1 1
10 0 3 1 1
10 0 4 1 1
10 0 4 1 1
10 0 5 0 1
10 0 4 1 1
10 0 4 0 1
10 0 3 1 1
10 0 3 1 1
10 0 4 0 1
10 0 3 1 1
10 0 3 0 1
10 0 2 1 1
10 0 2 1 1
10 0 3 1 1
10 0 3 1 1
10 0 4 1 1
10 0 4 1 1
10 0 5 0 1
10 0 4 1 1
10 0 4 1 1
10 0 5 0 1
10 0 4 1 1
10 0 4 0 1
10 0 3 1 1
10 0 3 1 1
10 0 4 0 1
10 0 3 0 1
10 0 2 1 1
10 0 2 1 1
10 0 3 1 1
10 0 3 0 1
10 0 2 0 1
10 1 9 1 1
10 1 9 1 1
10 1 8 1 1
10 1 8 1 1
10 1 7 1 1
10 1 7 1 1
10 1 6 0 1
10 1 7 1 1
10 1 7 1 1
10 1 6 1 1
10 1 6 1 1
10 1 5 1 1
10 1 5 1 1
10 1 4 1 1
10 1 4 1 1
10 1 3 0 1
10 1 4 1 1
10 1 4 0 1
10 1 5 1 1
10 1 5 1 1
10 1 4 0 1
10 1 5 1 1
10 1 5 0 1
10 1 6 1 1
10 1 6 1 1
10 1 5 1 1
10 1 5 1 1
10 1 4 0 1
10 1 5 1 1
10 1 5 1 1
10 1 4 1 1
10 1 4 0 1
10 1 5 1 1
10 1 5 0 1
10 1 6 1 1
10 1 6 1 1
10 1 5 1 1
10 1 5 1 1
10 1 4 1 1
10 1 4 1 1
10 1 3 0 1
10 1 4 1 1
10 1 4 1 1
10 1 3 1 1
10 1 3 0 1
10 1 4 1 1
10 1 4 0 1
10 1 5 0 1
10 1 6 1 1
10 1 6 0 1
10 1 7 1 1
10 1 7 1 1
10 1 6 1 1
10 1 6 1 1
10 1 5 1 1
10 1 5 1 1
10 1 4 1 1
10 1 4 1 1
10 1 3 1 1
10 1 3 1 1
10 1 2 0 1
10 1 3 0 1
10 1 4 1 1
10 1 4 0 1
10 1 5 0 1
10 0 1 1 1
10 0 1 0 1
10 0 1 1 1
10 0 1 1 1
10 0 2 1 1
10 0 2 1 1
10 0 3 1 1
10 0 3 1 1
10 0 4 1 1
10 0 4 1 1
10 0 5 0 1
10 0 4 1 1
10 0 4 1 1
10 0 5 0 1
10 0 4 1 1
10 0 4 0 1
10 0 3 1 1
10 0 3 1 1
10 0 4 1 1
10 0 4 1 1
10 0 5 1 1
10 0 5 1 1
10 0 6 1 1
10 0 6 0 1
10 0 5 0 1
10 0 4 1 1
10 0 4 0 1
10 0 3 1 1
10 0 3 1 1
10 0 4 1 1
10 0 4 1 1
10 0 5 0 1
10 0 4 1 1
10 0 4 1 1
10 0 5 1 1
10 0 5 1 1
10 0 6 0 1
10 0 5 1 1
10 0 5 1 1
10 0 6 0 1
10 0 5 0 1
10 0 4 1 1
10 0 4 1 1
10 0 5 1 1
10 0 5 1 1
10 0 6 0 1
10 0 5 1 1
10 0 5 1 1
10 0 6 1 1
10 0 6 0 1
10 0 5 1 1
10 0 5 1 1
10 0 6 1 1
10 0 6 0 1
10 0 5 1 1
10 0 5 0 1
10 0 4 1 1
10 0 4 1 1
10 0 5 1 1
10 0 5 0 1
10 0 4 1 1
10 0 4 0 1
10 0 3 1 1
10 0 3 1 1
10 0 4 0 1
10 1 6 1 1
10 1 6 1 1
10 1 5 1 1
10 1 5 0 1
10 1 6 1 1
10 1 6 1 1
10 1 5 1 1
10 1 5 1 1
10 1 4 1 1
10 1 4 1 1
10 1 3 0 1
10 1 4 1 1
10 1 4 1 1
10 1 3 0 1
10 1 4 1 1
10 1 4 0 1
10 1 5 1 1
10 1 5 1 1
10 1 4 1 1
10 1 4 1 1
10 1 3 0 1
10 1 4 0 1
10 1 5 1 1
10 1 5 0 1
10 1 6 1 1
10 1 6 1 1
10 1 5 1 1
10 1 5 1 1
10 1 4 1 1
10 1 4 1 1
10 1 3 1 1
10 1 3 1 1
10 1 2 0 1
10 1 3 1 1
10 1 3 1 1
10 1 2 0 1
10 1 3 1 1
10 1 3 1 1
10 1 2 0 1
10 1 3 0 1
10 1 4 0 1
10 1 5 0 1
10 1 6 1 1
10 1 6 0 1
10 1 7 1 1
10 1 7 1 1
10 1 6 0 1
10 1 7 0 1
10 1 8 1 1
10 1 8 1 1
10 1 7 0 1
10 1 8 1 1
10 1 8 1 1
10 1 7 1 1
10 1 7 0 1
10 1 8 1 1
10 1 8 1 1
10 1 7 1 1
10 1 7 1 1
10 1 6 1 1
10 1 6 1 1
10 1 5 1 1
10 1 5 0 1
10 1 6 0 1
10 1 7 1 1
11 0 3 0 2
11 0 2 1 2
11 0 2 1 2
11 0 3 1 2
11 0 3 1 2
11 0 4 0 2
11 0 3 1 2
11 0 3 0 2
11 0 2 1 2
11 0 2 1 2
11 0 3 1 2
11 0 3 1 2
11 0 4 1 2
11 0 4 0 2
11 0 3 1 2
11 0 3 0 2
11 0 2 1 2
11 0 2 0 2
11 0 1 0 2
11 0 1 1 2
11 0 1 1 2
11 0 2 1 2
11 0 2 1 2
11 0 3 0 2
11 0 2 1 2
11 0 2 1 2
11 0 3 1 2
11 0 3 0 2
11 0 2 0 2
11 0 1 1 2
11 0 1 0 2
11 0 1 1 2
11 0 1 1 2
11 0 2 0 2
11 0 1 1 2
11 0 1 0 2
11 0 1 1 2
11 0 1 1 2
11 0 2 1 2
11 0 2 1 2
11 0 3 0 2
11 0 2 0 2
11 0 1 0 2
11 0 1 1 2
11 0 1 1 2
11 0 2 1 2
11 0 2 1 2
11 0 3 0 2
11 0 2 1 2
11 0 2 0 2
11 0 1 1 2
11 0 1 1 2
11 0 2 1 2
11 0 2 1 2
